MARCATS	RCLASS	abs_anthro	MARCATS_ID
Southern Greenland	Polar	0.86	15
Antarctic Shelves	Polar	0.69	45
Leeuwin Current	EBC	0.6	33
Norwegian Basin	Polar	0.6	18
Southern Western Africa	EBC	0.59	24
Florida Upwelling	WBC	0.56	10
North Eastern Atlantic	Marginal sea	0.53	17
Agulhas Current	WBC	0.53	25
New Zealand	Subpolar	0.52	36
Sea of Japan	Marginal sea	0.51	40
Eastern Austrialian Current	WBC	0.5	35
Southern America	Subpolar	0.46	5
North Eastern Pacific	Subpolar	0.45	1
China Sea & Kuroshio	WBC	0.45	39
Peruvian Upwelling Current	EBC	0.39	4
Sea of Okhotsk	Marginal sea	0.36	41
Tropical Eastern Pacific	Tropical	0.36	3
California Current	EBC	0.35	2
Brazilian Current	WBC	0.34	6
Moroccan Upwelling	EBC	0.33	22
Gulf of Mexico	Marginal sea	0.32	9
Western Arabian Sea	Indian margins	0.31	27
Bay of Bengal	Indian margins	0.31	31
Sea of Labrador	Subpolar	0.31	11
Carribean Sea	Tropical	0.31	8
Eastern Arabian Sea	Indian margins	0.3	30
Mediterranean Sea	Marginal sea	0.3	20
Iberian Upwelling	EBC	0.27	19
Southern Australia	Subpolar	0.27	34
Northern Greenland	Polar	0.26	14
Tropical Western Atlantic	Tropical	0.26	7
North Western Pacific	Subpolar	0.24	42
Northern Australia	Tropical	0.23	37
Tropical Eastern Indian	Indian margins	0.2	32
South East Asia	Tropical	0.2	38
Tropical Eastern Atlantic	Tropical	0.19	23
Black Sea	Marginal sea	0.18	21
Tropical Western Indian	Tropical	0.16	26
Red Sea	Marginal sea	0.15	28
Persian Gulf	Marginal sea	0.12	29
Barents & Kara Sea	Polar	0.11	44
Canadian Archipelagos	Polar	0.09	13
Hudson Bay	Marginal sea	0.08	12
Siberian Shelves	Polar	0.05	43
Baltic Sea	Marginal sea	0.01	16
